CODIGO_RECEITA;ESPECIFICACAO;VR_ORC_FONTE;FONTE_RECURSO;CO;VR_ARREC_MES_FONTE;VR_ARREC_ATE_MES_FONTE;VR_ORC;VR_ARREC_MES;VR_ARREC_ATE_MES;VR_DIFERENCA
1112500300;Imposto sobre a Propriedade Predial e Territorial Urbana - Dívida Ativa - 25,00%;13.306.844,25;1500701;1001;987.158,40;2.809.203,65;53.227.377,00;3.948.633,61;11.236.814,61;10.497.640,60
1112500300;Imposto sobre a Propriedade Predial e Territorial Urbana - Dívida Ativa - 27,44%;14.605.592,25;1500702;1002;1.083.505,06;3.083.381,92;53.227.377,00;3.948.633,61;11.236.814,61;11.522.210,33
1112500400;Imposto sobre a Propriedade Predial e Territorial Urbana - Dívida Ativa - Multas e Juros - 47,56%;4.653.287,53;1500000;;691.914,91;1.955.150,58;9.784.036,00;1.454.825,27;4.110.913,73;2.698.136,95
1112500400;Imposto sobre a Propriedade Predial e Territorial Urbana - Dívida Ativa - Multas e Juros - 25,00%;2.446.009,00;1500701;1001;363.706,31;1.027.728,43;9.784.036,00;1.454.825,27;4.110.913,73;1.418.280,57
1112500400;Imposto sobre a Propriedade Predial e Territorial Urbana - Dívida Ativa - Multas e Juros - 27,44%;2.684.739,48;1500702;1002;399.204,05;1.128.034,72;9.784.036,00;1.454.825,27;4.110.913,73;1.556.704,76
1112530000;"Impostos sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis";0;;;0;0;93.729.846,00;7.412.370,01;21.237.478,51;72.492.367,49
1112530100;"Impostos sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis - Principal - 47,56%";44.223.685,03;1500000;;3.519.857,13;10.064.617,53;92.985.040,00;7.400.877,04;21.161.937,61;34.159.067,50
1112530100;"Impostos sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis - Principal - 25,00%";23.246.260,00;1500701;1001;1.850.219,26;5.290.484,40;92.985.040,00;7.400.877,04;21.161.937,61;17.955.775,60
1112530100;"Impostos sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis - Principal - 27,44%";25.515.094,98;1500702;1002;2.030.800,65;5.806.835,68;92.985.040,00;7.400.877,04;21.161.937,61;19.708.259,30
1112530200;"Imposto sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis - Multas e Juros - 47,56%";354.229,74;1500000;;0;13.590,02;744.806,00;0;28.574,46;340.639,72
1112530200;"Imposto sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis - Multas e Juros - 25,00%";186.201,50;1500701;1001;0;7.143,61;744.806,00;0;28.574,46;179.057,89
1112530200;"Imposto sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis - Multas e Juros - 27,44%";204.374,77;1500702;1002;0;7.840,83;744.806,00;0;28.574,46;196.533,94
1112530300;"Imposto sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis - Dívida Ativa - 100,00%";0;1500000;;4.315,79;17.357,28;0;4.315,79;17.357,28;-17.357,28
1112530400;"Imposto sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis -Dívida Ativa - Multas e Juros - 100,00%";0;1500000;;7.177,18;29.609,16;0;7.177,18;29.609,16;-29.609,16
1113000000;Impostos sobre a Renda e Proventos de Qualquer Natureza;0;;;0;0;140.500.456,00;10.024.257,02;34.078.574,14;106.421.881,86
1113030000;Imposto sobre a Renda - Retido na Fonte;0;;;0;0;140.500.456,00;10.024.257,02;34.078.574,14;106.421.881,86
1113031100;Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal - 47,56%;60.577.376,04;1500000;;4.848.567,48;16.264.949,40;127.370.429,00;8.160.307,41;28.139.590,55;44.312.426,64
1113031100;Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal - 25,00%;31.842.607,25;1500701;1001;1.578.823,38;5.661.060,77;127.370.429,00;8.160.307,41;28.139.590,55;26.181.546,48
1113031100;Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal - 27,44%;34.950.445,72;1500702;1002;1.732.916,55;6.213.580,38;127.370.429,00;8.160.307,41;28.139.590,55;28.736.865,34
1113034100;Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - Principal - 47,56%;6.244.640,85;1500000;;1.139.781,36;3.563.257,87;13.130.027,00;1.863.949,61;5.938.983,59;2.681.382,98
1113034100;Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - Principal - 25,00%;3.282.506,75;1500701;1001;345.236,60;1.132.592,39;13.130.027,00;1.863.949,61;5.938.983,59;2.149.914,36
1113034100;Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - Principal - 27,44%;3.602.879,41;1500702;1002;378.931,65;1.243.133,33;13.130.027,00;1.863.949,61;5.938.983,59;2.359.746,08
1114000000;Impostos sobre a Produção e Circulação de Mercadorias e Serviços;0;;;0;0;302.650.655,00;24.183.915,02;81.501.564,73;221.149.090,27
1114510000;Impostos sobre Serviços;0;;;0;0;302.650.655,00;24.183.915,02;81.501.564,73;221.149.090,27
1114511100;Imposto sobre Serviços de Qualquer Natureza - ISSQN - Principal - 47,56%;140.125.523,87;1500000;;11.265.098,78;38.071.961,60;294.628.940,00;23.365.888,70;79.225.754,79;102.053.562,27
1114511100;Imposto sobre Serviços de Qualquer Natureza - ISSQN - Principal - 25,00%;73.657.235,00;1500701;1001;5.768.873,92;19.619.466,63;294.628.940,00;23.365.888,70;79.225.754,79;54.037.768,37
1114511100;Imposto sobre Serviços de Qualquer Natureza - ISSQN - Principal - 27,44%;80.846.181,14;1500702;1002;6.331.916,00;21.534.326,56;294.628.940,00;23.365.888,70;79.225.754,79;59.311.854,58
1114511200;Imposto sobre Serviços de Qualquer Natureza - ISSQN - Multas e Juros - 47,56%;1.468.733,19;1500000;;135.432,58;373.292,21;3.088.169,00;284.761,52;784.886,89;1.095.440,98
1114511200;Imposto sobre Serviços de Qualquer Natureza - ISSQN - Multas e Juros - 25,00%;772.042,25;1500701;1001;71.190,38;196.221,72;3.088.169,00;284.761,52;784.886,89;575.820,53
1114511200;Imposto sobre Serviços de Qualquer Natureza - ISSQN - Multas e Juros - 27,44%;847.393,57;1500702;1002;78.138,56;215.372,96;3.088.169,00;284.761,52;784.886,89;632.020,61
1114511300;Imposto sobre Serviços de Qualquer Natureza - ISSQN - Dívida Ativa - 47,56%;1.648.030,11;1500000;;156.052,61;466.301,29;3.465.160,00;328.117,33;980.448,43;1.181.728,82
1114511300;Imposto sobre Serviços de Qualquer Natureza - ISSQN - Dívida Ativa - 25,00%;866.290,00;1500701;1001;82.029,33;245.112,10;3.465.160,00;328.117,33;980.448,43;621.177,90
1114511300;Imposto sobre Serviços de Qualquer Natureza - ISSQN - Dívida Ativa - 27,44%;950.839,90;1500702;1002;90.035,39;269.035,04;3.465.160,00;328.117,33;980.448,43;681.804,86
1114511400;Imposto sobre Serviços de Qualquer Natureza - ISSQN - Dívida Ativa - Multas e Juros - 47,56%;698.364,39;1500000;;97.568,15;242.781,74;1.468.386,00;205.147,47;510.474,62;455.582,65
1114511400;Imposto sobre Serviços de Qualquer Natureza - ISSQN - Dívida Ativa - Multas e Juros - 25,00%;367.096,50;1500701;1001;51.286,86;127.618,65;1.468.386,00;205.147,47;510.474,62;239.477,85
1114511400;Imposto sobre Serviços de Qualquer Natureza - ISSQN - Dívida Ativa - Multas e Juros - 27,44%;402.925,12;1500702;1002;56.292,46;140.074,23;1.468.386,00;205.147,47;510.474,62;262.850,89
1120000000;Taxas;0;;;0;0;72.677.244,00;2.417.307,90;70.281.819,59;2.395.424,41
1121000000;Taxas pelo Exercício do Poder de Polícia;0;;;0;0;28.985.240,00;739.075,33;3.921.224,01;25.064.015,99
1121010100;Taxas de Inspeção, Controle e Fiscalização - Principal - 100,00%;16.896.796,00;1501000;;254.490,66;1.458.334,80;16.896.796,00;254.490,66;1.458.334,80;15.438.461,20
1121010200;Taxas de Inspeção, Controle e Fiscalização - Multas e Juros - 100,00%;509.251,00;1501000;;41.626,75;230.035,54;509.251,00;41.626,75;230.035,54;279.215,46
1121010300;Taxas de Inspeção, Controle e Fiscalização - Dívida Ativa - 100,00%;3.430.051,00;1501000;;197.063,30;965.031,10;3.430.051,00;197.063,30;965.031,10;2.465.019,90
1121010400;Taxas de Inspeção, Controle e Fiscalização - Dívida Ativa - Multas e Juros - 100,00%;1.120.004,00;1501000;;80.094,14;372.715,92;1.120.004,00;80.094,14;372.715,92;747.288,08
1121500000;Taxa de Fiscalização de Vigilância Sanitária;0;;;0;0;7.029.138,00;165.800,48;895.106,65;6.134.031,35
1121500100;Taxa de Fiscalização de Vigilância Sanitária - Principal - 100,00%;5.532.771,00;1501000;;84.332,18;472.455,63;5.532.771,00;84.332,18;472.455,63;5.060.315,37
1121500200;Taxa de Fiscalização de Vigilância Sanitária - Multas e Juros - 100,00%;159.998,00;1501000;;11.608,56;65.006,83;159.998,00;11.608,56;65.006,83;94.991,17
1121500300;Taxa de Fiscalização de Vigilância Sanitária - Dívida Ativa - 100,00%;1.039.506,00;1501000;;50.518,74;265.719,38;1.039.506,00;50.518,74;265.719,38;773.786,62
1121500400;Taxa de Fiscalização de Vigilância Sanitária - Dívida Ativa - Multas e Juros - 100,00%;296.863,00;1501000;;19.341,00;91.924,81;296.863,00;19.341,00;91.924,81;204.938,19
1122000000;Taxas pela Prestação de Serviços;0;;;0;0;43.692.004,00;1.678.232,57;66.360.595,58;-22.668.591,58
1122010000;Taxas pela Prestação de Serviços em Geral;0;;;0;0;1.101.430,00;0;0;1.101.430,00
1122010100;Taxas pela Prestação de Serviços em Geral - Principal - 100,00%;872.592,00;1501000;;0;0;872.592,00;0;0;872.592,00
1122010200;Taxas pela Prestação de Serviços em Geral - Multas e Juros - 100,00%;29.518,00;1501000;;0;0;29.518,00;0;0;29.518,00
1122010300;Taxas pela Prestação de Serviços em Geral- Dívida Ativa - 100,00%;127.118,00;1501000;;0;0;127.118,00;0;0;127.118,00
1122010400;Taxas pela Prestação de Serviços em Geral - Dívida Ativa - Multas e Juros - 100,00%;72.202,00;1501000;;0;0;72.202,00;0;0;72.202,00
1122530000;Taxa pela Prestação de Serviços de Limpeza Pública e Manejo de Resíduos Sólidos;0;;;0;0;42.590.574,00;1.678.232,57;66.360.595,58;-23.770.021,58
1122530100;Taxa pela Prestação de Serviços de Limpeza Pública e Manejo de Resíduos Sólidos - Principal - 100,00%;35.906.725,00;21753000;;1.062.651,17;64.634.265,80;35.906.725,00;1.062.651,17;64.634.265,80;-28.727.540,80
1122530200;Taxa pela Prestação de Serviços de Limpeza Pública e Manejo de Resíduos Sólidos - Multas e Juros - 100,00%;922.415,00;21753000;;36.034,76;145.144,01;922.415,00;36.034,76;145.144,01;777.270,99
1122530300;Taxa pela Prestação de Serviços de Limpeza Pública e Manejo de Resíduos Sólidos - Dívida Ativa - 100,00%;4.644.626,00;21753000;;411.827,21;1.107.364,22;4.644.626,00;411.827,21;1.107.364,22;3.537.261,78
1122530400;Taxa pela Prestação de Serviços de Limpeza Pública e Manejo de Resíduos Sólidos - Dívida Ativa - Multas e Juros - 100,00%;1.116.808,00;21753000;;167.719,43;473.821,55;1.116.808,00;167.719,43;473.821,55;642.986,45
1200000000;Contribuições;0;;;0;0;154.171.796,00;12.329.582,91;32.263.735,66;121.908.060,34
1210000000;Contribuições Sociais;0;;;0;0;87.053.000,00;6.166.514,71;13.321.838,10;73.731.161,90
1215000000;Contribuições para Regimes Próprios de Previdência e Sistema de Proteção Social;0;;;0;0;87.053.000,00;6.166.514,71;13.321.838,10;73.731.161,90
1215010000;Contribuição do Servidor Civil;0;;;0;0;86.161.000,00;6.126.666,00;13.179.087,91;72.981.912,09
1215011100;Contribuição do Servidor Civil Ativo - Principal - 31,12%;25.347.862,40;81800811;1111;1.824.297,20;3.799.642,19;81.452.000,00;5.766.636,06;12.079.354,41;21.548.220,21
1215011100;Contribuição do Servidor Civil Ativo - Principal - 0,46%;374.679,20;81800821;1121;37.592,89;100.941,48;81.452.000,00;5.766.636,06;12.079.354,41;273.737,72
1215011100;Contribuição do Servidor Civil Ativo - Principal - 68,13%;55.493.247,60;81801811;2111;3.904.745,97;8.142.584,29;81.452.000,00;5.766.636,06;12.079.354,41;47.350.663,31
1215011100;Contribuição do Servidor Civil Ativo - Principal - 0,29%;236.210,80;81801821;2121;0;36.186,45;81.452.000,00;5.766.636,06;12.079.354,41;200.024,35
1215012100;Contribuição do Servidor Civil Inativo - Principal - 4,35%;191.008,50;81800811;1111;14.349,00;43.047,00;4.391.000,00;347.889,13;1.055.997,16;147.961,50
1215012100;Contribuição do Servidor Civil Inativo - Principal - 82,97%;3.643.212,70;81801811;2111;333.540,13;1.012.950,16;4.391.000,00;347.889,13;1.055.997,16;2.630.262,54
1215012100;Contribuição do Servidor Civil Inativo - Principal - 12,68%;556.778,80;81801821;2121;0;0;4.391.000,00;347.889,13;1.055.997,16;556.778,80
1215013100;Contribuição do Servidor Civil - Pensionistas - Principal - 32,74%;55.003,20;81800811;1111;4.848,70;21.376,12;168.000,00;12.140,81;43.736,34;33.627,08
1215013100;Contribuição do Servidor Civil - Pensionistas - Principal - 7,14%;11.995,20;81800821;1121;0;0;168.000,00;12.140,81;43.736,34;11.995,20
1215013100;Contribuição do Servidor Civil - Pensionistas - Principal - 59,52%;99.993,60;81801811;2111;7.292,11;22.360,22;168.000,00;12.140,81;43.736,34;77.633,38
1215013100;Contribuição do Servidor Civil - Pensionistas - Principal - 0,60%;1.008,00;81801821;2121;0;0;168.000,00;12.140,81;43.736,34;1.008,00
1215014100;Contribuição Oriunda de Sentenças Judiciais - Servidor Civil Ativo - Principal - 100,00%;150.000,00;81801811;2111;0;0;150.000,00;0;0;150.000,00
1215020000;Contribuição Patronal - Servidor Civil;0;;;0;0;892.000,00;39.848,71;142.750,19;749.249,81
1215021100;Contribuição Patronal - Servidor Civil Ativo - Principal - 48,65%;288.008,00;81800811;1111;17.564,50;73.030,00;592.000,00;39.848,71;142.750,19;214.978,00
1215021100;Contribuição Patronal - Servidor Civil Ativo - Principal - 51,35%;303.992,00;81801811;2111;22.284,21;69.720,19;592.000,00;39.848,71;142.750,19;234.271,81
1215022100;Contribuição Patronal Oriunda de Sentenças Judiciais - Patronal - Servidor Civil Ativo - Principal - 100,00%;300.000,00;81801811;2111;0;0;300.000,00;0;0;300.000,00
1240000000;Contribuição para o Custeio do Serviço de Iluminação Pública;0;;;0;0;67.118.796,00;6.163.068,20;18.941.897,56;48.176.898,44
1241000000;Contribuição para o Custeio do Serviço de Iluminação Pública;0;;;0;0;67.118.796,00;6.163.068,20;18.941.897,56;48.176.898,44
1241500000;Contribuição para o Custeio do Serviço de Iluminação Pública;0;;;0;0;67.118.796,00;6.163.068,20;18.941.897,56;48.176.898,44
1241500100;Contribuição para o Custeio do Serviço de Iluminação Pública - Principal - 30,00%;20.135.638,80;1501000;;1.848.610,80;5.681.554,66;67.118.796,00;6.162.036,01;18.938.515,52;14.454.084,14
1241500100;Contribuição para o Custeio do Serviço de Iluminação Pública - Principal - 70,00%;46.983.157,20;21751000;;4.313.425,21;13.256.960,86;67.118.796,00;6.162.036,01;18.938.515,52;33.726.196,34
1241500200;Contribuição para o Custeio do Serviço de Iluminação Pública - Multas e Juros - 30,00%;0;1501000;;8,46;16,65;0;28,22;55,51;-16,65
1241500200;Contribuição para o Custeio do Serviço de Iluminação Pública - Multas e Juros - 70,00%;0;21751000;;19,76;38,86;0;28,22;55,51;-38,86
1241500300;Contribuição para o Custeio do Serviço de Iluminação Pública - Dívida Ativa - 30,00%;0;1501000;;194,18;535,11;0;647,29;1.783,73;-535,11
1241500300;Contribuição para o Custeio do Serviço de Iluminação Pública - Dívida Ativa - 70,00%;0;21751000;;453,11;1.248,62;0;647,29;1.783,73;-1.248,62
1241500400;Contribuição para o Custeio do Serviço de Iluminação Pública - Dívida Ativa - Multas e Juros - 30,00%;0;1501000;;107;462,84;0;356,68;1.542,80;-462,84
1241500400;Contribuição para o Custeio do Serviço de Iluminação Pública - Dívida Ativa - Multas e Juros - 70,00%;0;21751000;;249,68;1.079,96;0;356,68;1.542,80;-1.079,96
1300000000;Receita Patrimonial;0;;;0;0;52.375.766,00;1.107.266,29;20.142.801,31;32.232.964,69
1310000000;Exploração do Patrimônio Imobiliário do Estado;0;;;0;0;84.397,00;6.739,15;20.217,45;64.179,55
1311000000;Exploração do Patrimônio Imobiliário do Estado;0;;;0;0;84.397,00;6.739,15;20.217,45;64.179,55
1311020000;Concessão, Permissão, Autorização ou Cessão do Direito de Uso de Bens Imóveis Públicos;0;;;0;0;84.397,00;6.739,15;20.217,45;64.179,55
1311020100;Concessão, Permissão, Autorização ou Cessão do Direito de Uso de Bens Imóveis Públicos - Principal - 100,00%;84.397,00;1501000;;6.739,15;20.217,45;84.397,00;6.739,15;20.217,45;64.179,55
1320000000;Valores Mobiliários;0;;;0;0;52.291.369,00;1.100.527,14;20.122.583,86;32.168.785,14
1321000000;Juros e Correções Monetárias;0;;;0;0;52.291.369,00;1.100.527,14;20.122.583,86;32.168.785,14
1321010000;Remuneração de Depósitos Bancários;0;;;0;0;45.350.369,00;1.100.527,14;18.461.840,30;26.888.528,70
1321010100;Remuneração de Depósitos Bancários - Principal - 88,24%;40.017.165,65;1500000;;576,29;6.181.922,91;45.350.369,00;1.100.527,14;18.461.840,30;33.835.242,74
1321010100;Remuneração de Depósitos Bancários - Principal - 0,00%;0;1500701;1001;0;50.508,63;45.350.369,00;1.100.527,14;18.461.840,30;-50.508,63
1321010100;Remuneração de Depósitos Bancários - Principal - 0,00%;0;1500702;1002;2.818,64;17.255,46;45.350.369,00;1.100.527,14;18.461.840,30;-17.255,46
1321010100;Remuneração de Depósitos Bancários - Principal - 0,31%;140.586,14;1501000;;0;644.274,94;45.350.369,00;1.100.527,14;18.461.840,30;-503.688,80
1321010100;Remuneração de Depósitos Bancários - Principal - 0,00%;0;1755000;;7.244,19;157.016,74;45.350.369,00;1.100.527,14;18.461.840,30;-157.016,74
1321010100;Remuneração de Depósitos Bancários - Principal - 0,00%;0;1756000;;0;4,69;45.350.369,00;1.100.527,14;18.461.840,30;-4,69
1321010100;Remuneração de Depósitos Bancários - Principal - 0,21%;95.235,77;11501000;;6.598,50;218.958,32;45.350.369,00;1.100.527,14;18.461.840,30;-123.722,55
1321010100;Remuneração de Depósitos Bancários - Principal - 0,00%;0;11599003;;0;4,38;45.350.369,00;1.100.527,14;18.461.840,30;-4,38
1321010100;Remuneração de Depósitos Bancários - Principal - 8,28%;3.755.010,55;21540770;1070;0;1.066.575,29;45.350.369,00;1.100.527,14;18.461.840,30;2.688.435,26
1321010100;Remuneração de Depósitos Bancários - Principal - 0,00%;0;21550000;;0;802.406,53;45.350.369,00;1.100.527,14;18.461.840,30;-802.406,53
1321010100;Remuneração de Depósitos Bancários - Principal - 0,00%;0;21551000;;0;633,64;45.350.369,00;1.100.527,14;18.461.840,30;-633,64
1321010100;Remuneração de Depósitos Bancários - Principal - 0,00%;0;21552000;;0;11.714,16;45.350.369,00;1.100.527,14;18.461.840,30;-11.714,16
1321010100;Remuneração de Depósitos Bancários - Principal - 0,00%;0;21553000;;0;110,59;45.350.369,00;1.100.527,14;18.461.840,30;-110,59
1321010100;Remuneração de Depósitos Bancários - Principal - 0,01%;4.535,04;21569000;;0;56.510,49;45.350.369,00;1.100.527,14;18.461.840,30;-51.975,45
1321010100;Remuneração de Depósitos Bancários - Principal - 0,00%;0;21570000;;0;2.178,19;45.350.369,00;1.100.527,14;18.461.840,30;-2.178,19
1321010100;Remuneração de Depósitos Bancários - Principal - 0,53%;240.356,96;21573000;;0;47.429,41;45.350.369,00;1.100.527,14;18.461.840,30;192.927,55
1321010100;Remuneração de Depósitos Bancários - Principal - 0,00%;0;21600000;;486.961,71;1.396.525,99;45.350.369,00;1.100.527,14;18.461.840,30;-1.396.525,99
1321010100;Remuneração de Depósitos Bancários - Principal - 0,00%;0;21601000;;50.203,99;161.860,37;45.350.369,00;1.100.527,14;18.461.840,30;-161.860,37
1321010100;Remuneração de Depósitos Bancários - Principal - 0,00%;0;21604000;;49.456,33;212.032,15;45.350.369,00;1.100.527,14;18.461.840,30;-212.032,15
1321010100;Remuneração de Depósitos Bancários - Principal - 0,00%;0;21605000;;-44.121,04;99.216,57;45.350.369,00;1.100.527,14;18.461.840,30;-99.216,57
1321010100;Remuneração de Depósitos Bancários - Principal - 0,00%;0;21621000;;451.060,79;1.332.127,23;45.350.369,00;1.100.527,14;18.461.840,30;-1.332.127,23
1321010100;Remuneração de Depósitos Bancários - Principal - 0,00%;0;21636000;;7.504,12;23.295,53;45.350.369,00;1.100.527,14;18.461.840,30;-23.295,53
1321010100;Remuneração de Depósitos Bancários - Principal - 0,00%;0;21659000;;2.094,83;6.527,52;45.350.369,00;1.100.527,14;18.461.840,30;-6.527,52
1321010100;Remuneração de Depósitos Bancários - Principal - 0,00%;0;21660000;;0;52.900,19;45.350.369,00;1.100.527,14;18.461.840,30;-52.900,19
1321010100;Remuneração de Depósitos Bancários - Principal - 0,00%;0;21661000;;0;74.194,53;45.350.369,00;1.100.527,14;18.461.840,30;-74.194,53
1321010100;Remuneração de Depósitos Bancários - Principal - 0,00%;0;21665000;;9,9;6.033,94;45.350.369,00;1.100.527,14;18.461.840,30;-6.033,94
1321010100;Remuneração de Depósitos Bancários - Principal - 0,00%;0;21700000;;45.893,52;177.289,52;45.350.369,00;1.100.527,14;18.461.840,30;-177.289,52
1321010100;Remuneração de Depósitos Bancários - Principal - 0,00%;0;21701000;;0;1.340.557,84;45.350.369,00;1.100.527,14;18.461.840,30;-1.340.557,84
1321010100;Remuneração de Depósitos Bancários - Principal - 0,00%;0;21703000;;0;10.946,17;45.350.369,00;1.100.527,14;18.461.840,30;-10.946,17
1321010100;Remuneração de Depósitos Bancários - Principal - 0,00%;0;21707000;;0;0;45.350.369,00;1.100.527,14;18.461.840,30;0
1321010100;Remuneração de Depósitos Bancários - Principal - 0,00%;0;21708000;;0;74.647,72;45.350.369,00;1.100.527,14;18.461.840,30;-74.647,72
1321010100;Remuneração de Depósitos Bancários - Principal - 0,00%;0;21710010;;0;194.071,21;45.350.369,00;1.100.527,14;18.461.840,30;-194.071,21
1321010100;Remuneração de Depósitos Bancários - Principal - 0,00%;0;21715000;;0;49.410,09;45.350.369,00;1.100.527,14;18.461.840,30;-49.410,09
1321010100;Remuneração de Depósitos Bancários - Principal - 0,00%;0;21716000;;0;20.015,36;45.350.369,00;1.100.527,14;18.461.840,30;-20.015,36
1321010100;Remuneração de Depósitos Bancários - Principal - 0,00%;0;21717000;;0;0,73;45.350.369,00;1.100.527,14;18.461.840,30;-0,73
1321010100;Remuneração de Depósitos Bancários - Principal - 0,00%;0;21719000;;0;64.589,32;45.350.369,00;1.100.527,14;18.461.840,30;-64.589,32
1321010100;Remuneração de Depósitos Bancários - Principal - 0,22%;99.770,81;21749000;;0;601.240,14;45.350.369,00;1.100.527,14;18.461.840,30;-501.469,33
1321010100;Remuneração de Depósitos Bancários - Principal - 0,00%;0;21749012;;0;51,47;45.350.369,00;1.100.527,14;18.461.840,30;-51,47
1321010100;Remuneração de Depósitos Bancários - Principal - 0,04%;18.140,15;21750000;;0;3.971,18;45.350.369,00;1.100.527,14;18.461.840,30;14.168,97
1321010100;Remuneração de Depósitos Bancários - Principal - 0,00%;0;21751000;;776,61;1.543.591,22;45.350.369,00;1.100.527,14;18.461.840,30;-1.543.591,22
1321010100;Remuneração de Depósitos Bancários - Principal - 2,16%;979.567,97;21752000;;0;37.989,64;45.350.369,00;1.100.527,14;18.461.840,30;941.578,33
1321010100;Remuneração de Depósitos Bancários - Principal - 0,00%;0;21759005;;0;419.397,93;45.350.369,00;1.100.527,14;18.461.840,30;-419.397,93
1321010100;Remuneração de Depósitos Bancários - Principal - 0,00%;0;21899030;;0;7.310,84;45.350.369,00;1.100.527,14;18.461.840,30;-7.310,84
1321010100;Remuneração de Depósitos Bancários - Principal - 0,00%;0;41754900;;0;623.105,41;45.350.369,00;1.100.527,14;18.461.840,30;-623.105,41
1321010100;Remuneração de Depósitos Bancários - Principal - 0,00%;0;41754901;;0;299.960,46;45.350.369,00;1.100.527,14;18.461.840,30;-299.960,46
1321010100;Remuneração de Depósitos Bancários - Principal - 0,00%;0;51500702;1002;956,81;3.116,33;45.350.369,00;1.100.527,14;18.461.840,30;-3.116,33
1321010100;Remuneração de Depósitos Bancários - Principal - 0,00%;0;51571710;3210;0;35.627,42;45.350.369,00;1.100.527,14;18.461.840,30;-35.627,42
1321010100;Remuneração de Depósitos Bancários - Principal - 0,00%;0;51600710;3110;0;0;45.350.369,00;1.100.527,14;18.461.840,30;0
1321010100;Remuneração de Depósitos Bancários - Principal - 0,00%;0;51621710;3210;26.460,55;82.824,28;45.350.369,00;1.100.527,14;18.461.840,30;-82.824,28
1321010100;Remuneração de Depósitos Bancários - Principal - 0,00%;0;51621720;3220;0;0;45.350.369,00;1.100.527,14;18.461.840,30;0
1321010100;Remuneração de Depósitos Bancários - Principal - 0,00%;0;51660710;3110;0;33.001,36;45.350.369,00;1.100.527,14;18.461.840,30;-33.001,36
