num_emp;ano_insc;ug;uo;fonte;num_doc;credor;nome_credor;valor;valor_anu_ant;valor_anu_mes;valor_em_liq_ant;valor_em_liq_mes;valor_liq_ant;valor_liq_mes;valor_pag_ant;valor_pag_mes;saldo_ant;saldo_mes
3181;2019;1546;1131;21600000;/;35807;POSTO ZEPPE GRAND PRIX LTDA;159,60;0,00;0,00;159,60;0,00;0,00;0,00;0,00;0,00;159,60;159,60
3525;2019;1546;1131;01500702;/;44406;ALL MEDICA DIST. DE MATERIAIS HOSPITALARES LTDA;1.120,00;0,00;0,00;1.120,00;0,00;0,00;0,00;0,00;0,00;1.120,00;1.120,00
4309;2019;1546;1131;21600000;/;3083;AIR LIQUIDE BRASIL LTDA;401,60;0,00;0,00;401,60;0,00;0,00;0,00;0,00;0,00;401,60;401,60
4310;2019;1546;1131;21600000;/;3083;AIR LIQUIDE BRASIL LTDA;2.351,20;0,00;0,00;2.351,20;0,00;0,00;0,00;0,00;0,00;2.351,20;2.351,20
5426;2019;0108;1041;01500000;/;268;FUNDACAO DE DESENVOLVIMENTO DA PESQUISA - FUNDEP;55.274,40;0,00;0,00;0,00;0,00;0,00;55.274,40;0,00;55.274,40;55.274,40;0,00
6298;2019;1546;1131;21621000;/;45838;PROTECTOR INDUSTRIA E COMERCIO DE PRODUTOS MEDICO HOSPITALARES LTDA;934,08;0,00;0,00;934,08;0,00;0,00;0,00;0,00;0,00;934,08;934,08
9067;2019;1546;1131;21600000;/;3083;AIR LIQUIDE BRASIL LTDA;51,00;0,00;0,00;51,00;0,00;0,00;0,00;0,00;0,00;51,00;51,00
9068;2019;1546;1131;21600000;/;3083;AIR LIQUIDE BRASIL LTDA;2.326,80;0,00;0,00;2.326,80;0,00;0,00;0,00;0,00;0,00;2.326,80;2.326,80
555;2020;0116;1071;01500000;/;35807;POSTO ZEPPE GRAND PRIX LTDA;68,39;0,00;0,58;67,81;0,00;0,00;0,00;0,00;0,00;68,39;67,81
835;2020;1546;1131;21600000;/;3083;AIR LIQUIDE BRASIL LTDA;436,40;0,00;0,00;436,40;0,00;0,00;0,00;0,00;0,00;436,40;436,40
1892;2020;0150;1211;22700000;4696/2019;47149;GM COMÉRCIO DE LIVROS - ME;13.819,00;0,00;13.819,00;0,00;0,00;0,00;0,00;0,00;0,00;13.819,00;0,00
1922;2020;0116;1071;01500000;/;35807;POSTO ZEPPE GRAND PRIX LTDA;49,60;0,00;8,74;40,86;0,00;0,00;0,00;0,00;0,00;49,60;40,86
2233;2020;0116;1071;01500000;/;35807;POSTO ZEPPE GRAND PRIX LTDA;419,46;0,00;3,82;415,64;0,00;0,00;0,00;0,00;0,00;419,46;415,64
2616;2020;1546;1131;21600000;/;35807;POSTO ZEPPE GRAND PRIX LTDA;325,94;0,00;0,00;325,94;0,00;0,00;0,00;0,00;0,00;325,94;325,94
3401;2020;1546;1131;21600000;/;35807;POSTO ZEPPE GRAND PRIX LTDA;117,65;0,00;0,00;117,65;0,00;0,00;0,00;0,00;0,00;117,65;117,65
3588;2020;1546;1131;21600000;/;35807;POSTO ZEPPE GRAND PRIX LTDA;188,46;0,00;0,00;188,46;0,00;0,00;0,00;0,00;0,00;188,46;188,46
6824;2020;0116;1071;01500000;/;35807;POSTO ZEPPE GRAND PRIX LTDA;538,31;0,00;38,83;499,48;0,00;0,00;0,00;0,00;0,00;538,31;499,48
7160;2020;0171;1151;31500000;/;48542;COESA ENGENHARIA LTDA;1.026,79;0,00;0,00;0,00;0,00;1.026,79;0,00;1.026,79;0,00;0,00;0,00
7161;2020;0171;1151;41754900;/;48542;COESA ENGENHARIA LTDA;6.793,37;0,00;0,00;0,00;0,00;6.793,37;0,00;6.793,37;0,00;0,00;0,00
9791;2020;0116;1071;01500000;/;35807;POSTO ZEPPE GRAND PRIX LTDA;7.685,70;0,00;7.312,59;373,11;0,00;0,00;0,00;0,00;0,00;7.685,70;373,11
23;2021;0108;1041;01500000;/;232;CARTORIO DO SEGUNDO OFICIO DE NOTAS;3.911,05;0,00;3.911,05;0,00;0,00;0,00;0,00;0,00;0,00;3.911,05;0,00
210;2021;0171;1151;41754900;/;41780;CONSORCIO CONATA - MARINS - INFRACON;497.693,06;497.693,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
357;2021;1814;1113;01500000;/;44272;ASCENDE - CONSULTORIA E PROJETOS LTDA - EPP;16.848,33;0,00;16.848,33;0,00;0,00;0,00;0,00;0,00;0,00;16.848,33;0,00
1000;2021;1546;1131;21600000;/;35807;POSTO ZEPPE GRAND PRIX LTDA;21.373,26;0,00;11,91;21.361,35;0,00;0,00;0,00;0,00;0,00;21.373,26;21.361,35
1139;2021;1546;1131;21600000;/;17931;RODAR CENTRO AUTOMOTIVO LTDA;2,50;0,00;2,50;0,00;0,00;0,00;0,00;0,00;0,00;2,50;0,00
1393;2021;1546;1131;21600000;/;17931;RODAR CENTRO AUTOMOTIVO LTDA;0,18;0,00;0,18;0,00;0,00;0,00;0,00;0,00;0,00;0,18;0,00
1394;2021;1546;1131;21600000;/;17931;RODAR CENTRO AUTOMOTIVO LTDA;1,08;0,00;1,08;0,00;0,00;0,00;0,00;0,00;0,00;1,08;0,00
1780;2021;1546;1131;21600000;/;22841;PRODIET NUTRIÇÃO CLÍNICA LTDA;0,45;0,00;0,45;0,00;0,00;0,00;0,00;0,00;0,00;0,45;0,00
1820;2021;1814;1113;01500000;/;44272;ASCENDE - CONSULTORIA E PROJETOS LTDA - EPP;45.340,06;0,00;45.340,06;0,00;0,00;0,00;0,00;0,00;0,00;45.340,06;0,00
1899;2021;1546;1131;31500702;/;44446;MONTAGEM ELÉTRICA SERVIÇOS DE URBANIZAÇÃO LTDA ME;11,58;0,00;11,58;0,00;0,00;0,00;0,00;0,00;0,00;11,58;0,00
2008;2021;0171;1151;41754900;/;41780;CONSORCIO CONATA - MARINS - INFRACON;10.492,00;10.492,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2275;2021;1546;1131;21631000;/;44446;MONTAGEM ELÉTRICA SERVIÇOS DE URBANIZAÇÃO LTDA ME;2,12;0,00;2,12;0,00;0,00;0,00;0,00;0,00;0,00;2,12;0,00
2314;2021;1546;1131;21600000;/;17931;RODAR CENTRO AUTOMOTIVO LTDA;7,86;0,00;7,86;0,00;0,00;0,00;0,00;0,00;0,00;7,86;0,00
2315;2021;1546;1131;21600000;/;17931;RODAR CENTRO AUTOMOTIVO LTDA;4,54;0,00;4,54;0,00;0,00;0,00;0,00;0,00;0,00;4,54;0,00
2724;2021;1546;1131;21601000;/;32816;PRISMA ENGENHARIA E TOPOGRAFIA LTDA ME;251,44;0,00;251,44;0,00;0,00;0,00;0,00;0,00;0,00;251,44;0,00
3682;2021;1546;1131;21600000;/;48364;MEGA SOLUCOES CIENTIFICAS E LOCACAO EIRELI;0,62;0,00;0,62;0,00;0,00;0,00;0,00;0,00;0,00;0,62;0,00
4146;2021;0171;1151;41754900;/;48225;CONSÓRCIO VILASA-BALI-JVF CORREDOR NORTE-SUL LTDA;321.738,92;312.155,01;0,00;0,00;0,00;9.583,91;0,00;9.583,91;0,00;0,00;0,00
5125;2021;1546;1131;21621000;/;31839;POSTO ZEPPE OASIS LTDA;155,57;0,00;0,00;155,57;0,00;0,00;0,00;0,00;0,00;155,57;155,57
5772;2021;0145;1181;01500000;/;53143;SEPAT MULTI SERVICE LTDA;14.618,12;0,00;14.618,12;0,00;0,00;0,00;0,00;0,00;0,00;14.618,12;0,00
6196;2021;1546;1131;21600000;/;2250;WHITE MARTINS GASES INDUSTRIAIS LTDA;4.798,79;0,00;0,00;4.798,48;0,00;0,00;0,00;0,00;0,00;4.798,79;4.798,79
6197;2021;1546;1131;21600000;/;2250;WHITE MARTINS GASES INDUSTRIAIS LTDA;0,01;0,00;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00
7084;2021;1546;1131;22601000;/;958;GONTIJO - SERVIÇOS, LOCAÇÃO E CONSTRUÇÕES LTDA;495,47;0,00;495,47;0,00;0,00;0,00;0,00;0,00;0,00;495,47;0,00
7285;2021;1546;1131;51500702;/;45407;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE BELO HORIZONTE - APAE BH;79,91;0,00;79,91;0,00;0,00;0,00;0,00;0,00;0,00;79,91;0,00
7453;2021;1138;1102;01500000;/;1088;CASA DE APOIO CRIANÇA CARENTE DE CONTAGEM-LAR CRIANÇA VIDA;160.000,00;160.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
7509;2021;0171;1151;41754900;/;41780;CONSORCIO CONATA - MARINS - INFRACON;370.408,79;370.408,79;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
7629;2021;1215;1104;01500000;5538/2021;42899;CONSULTORIA JUNIOR EM ADM PUBLICA;1.300,00;1.300,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
7656;2021;1546;1131;21600000;/;16275;GTO GRUPO TECNICO EM ODONTOLOGIA LTDA;0,66;0,00;0,66;0,00;0,00;0,00;0,00;0,00;0,00;0,66;0,00
7709;2021;0106;1021;01500000;/;38546;RMV EVENTOS E SERVIÇOS LTDA ME;22.698,09;0,00;22.698,09;0,00;0,00;0,00;0,00;0,00;0,00;22.698,09;0,00
7975;2021;0132;1121;01500000;/;38546;RMV EVENTOS E SERVIÇOS LTDA ME;2.427,13;2.427,13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
8597;2021;1546;1131;21600000;/;50567;HEMARCON ENGENHARIA DE AR CONDICIONADO EIRELI;0,49;0,00;0,49;0,00;0,00;0,00;0,00;0,00;0,00;0,49;0,00
90;2022;0145;1181;11501000;/;1892;EMPRESA MINEIRA DE COMPUTADORES LTDA.;6.552,33;6.552,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
93;2022;0108;1041;01500000;/;45715;SOFTPLAN PLANEJAMENTO E SISTEMAS LTDA;70.066,00;0,00;70.066,00;0,00;0,00;0,00;0,00;0,00;0,00;70.066,00;0,00
99;2022;0108;1041;01500000;/;28560;JOAO MARQUES DE VASCONCELOS;130,45;0,00;130,45;0,00;0,00;0,00;0,00;0,00;0,00;130,45;0,00
110;2022;0108;1041;01500000;/;232;CARTORIO DO SEGUNDO OFICIO DE NOTAS;616,60;0,00;616,60;0,00;0,00;0,00;0,00;0,00;0,00;616,60;0,00
161;2022;1546;1131;21621000;/;50182;L. FERNANDO MAZZA CURSOS E TREINAMENTO;2.125,00;2.125,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
181;2022;1546;1131;21621000;/;17931;RODAR CENTRO AUTOMOTIVO LTDA;11.250,00;11.250,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
208;2022;1546;1131;21600000;/;18050;TELEMAR NORTE LESTE S/A;16.770,48;16.770,48;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
333;2022;1814;1113;01500000;/;44272;ASCENDE - CONSULTORIA E PROJETOS LTDA - EPP;45.340,06;0,00;920,63;0,00;0,00;44.419,43;0,00;44.419,43;0,00;920,63;0,00
422;2022;0116;1071;01500000;/;43426;IMPRENSA NACIONAL;1.210,44;0,00;0,00;0,00;0,00;1.210,44;0,00;1.210,44;0,00;0,00;0,00
423;2022;0116;1071;01500000;/;33751;SECRETARIA DE ESTADO DE GOVERNO;6.887,88;4.673,13;0,00;0,00;0,00;2.214,75;0,00;2.214,75;0,00;0,00;0,00
465;2022;0116;1071;01500000;/;17931;RODAR CENTRO AUTOMOTIVO LTDA;1.000,00;1.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
503;2022;0116;1071;01500000;/;21948;PORTO SEGURO COMPANHIA DE SEGUROS GERAIS;10,70;10,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
618;2022;0171;1151;01500000;/;15;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;500,00;500,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
639;2022;0116;1071;01500000;/;17931;RODAR CENTRO AUTOMOTIVO LTDA;3.548,87;80,25;0,00;0,00;0,00;3.468,62;0,00;3.468,62;0,00;0,00;0,00
643;2022;0116;1071;01500000;/;17931;RODAR CENTRO AUTOMOTIVO LTDA;1.000,00;1.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
679;2022;1546;1131;21600000;/;53667;FATIMO JOSE DA SILVA 37303163620;1.414,50;1.360,50;0,00;0,00;0,00;54,00;0,00;54,00;0,00;0,00;0,00
704;2022;0171;1151;41754900;/;49188;CSL CONSULTORIA DE ENGENHARIA E ECONOMIA LTDA;261.379,69;261.379,69;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
742;2022;4123;1123;21552000;/;50678;COOPERATIVA DOS AGRICULTORES FAMILARES E AGROEXTRATIVISTAS GRANDE SERTÃO LTDA.;48.394,76;48.394,76;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
783;2022;1546;1131;21601000;/;32816;PRISMA ENGENHARIA E TOPOGRAFIA LTDA ME;3.354,08;0,00;3.354,08;0,00;0,00;0,00;0,00;0,00;0,00;3.354,08;0,00
833;2022;1546;1131;01500702;/;51040;IMED CENTRO MEDICO ESPECIALIZADO LTDA;12.442,09;12.442,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
849;2022;1546;1131;21600000;/;43675;ORGANIZACOES PAULA E CASTRO LTDA - ME;69.440,90;58.433,60;0,00;0,00;0,00;11.007,30;0,00;11.007,30;0,00;0,00;0,00
852;2022;1546;1131;21621000;/;31839;POSTO ZEPPE OASIS LTDA;217,31;0,00;0,22;217,09;0,00;0,00;0,00;0,00;0,00;217,31;217,09
853;2022;1546;1131;21600000;/;30916;OTTO BOCK DO BRASIL TECNICA ORTOPEDICA LTDA;4.947,00;4.947,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
861;2022;1546;1131;21600000;/;20278;CENTRAIS DE ABASTECIMENTO DE MINAS GERAIS S.A CEASA MG;10.964,17;10.732,85;0,00;0,00;0,00;231,32;0,00;231,32;0,00;0,00;0,00
862;2022;1138;1102;21660000;/;1892;EMPRESA MINEIRA DE COMPUTADORES LTDA.;2.834,00;2.834,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
889;2022;1546;1131;21600000;/;45407;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE BELO HORIZONTE - APAE BH;1.445,15;1.445,14;0,01;0,00;0,00;0,00;0,00;0,00;0,00;0,01;0,00
911;2022;0116;1071;21751000;/;13685;CEMIG DISTRIBUIÇÃO S/A;36,00;0,00;0,00;0,00;0,00;36,00;0,00;36,00;0,00;0,00;0,00
915;2022;4123;1123;21550000;/;53143;SEPAT MULTI SERVICE LTDA;320.103,49;320.103,49;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
917;2022;4123;1123;21550000;/;53143;SEPAT MULTI SERVICE LTDA;455.000,00;455.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
995;2022;0142;1201;21701000;/;958;GONTIJO - SERVIÇOS, LOCAÇÃO E CONSTRUÇÕES LTDA;29.568,36;0,00;29.568,36;0,00;0,00;0,00;0,00;0,00;0,00;29.568,36;0,00
1158;2022;1546;1131;21600000;/;2250;WHITE MARTINS GASES INDUSTRIAIS LTDA;1.882,70;0,00;1.882,70;0,00;0,00;0,00;0,00;0,00;0,00;1.882,70;0,00
1161;2022;1546;1131;21600000;/;2250;WHITE MARTINS GASES INDUSTRIAIS LTDA;15.086,48;0,00;15.086,48;0,00;0,00;0,00;0,00;0,00;0,00;15.086,48;0,00
1194;2022;1546;1131;21600000;/;2250;WHITE MARTINS GASES INDUSTRIAIS LTDA;77.297,08;0,00;76.200,28;1.096,80;0,00;0,00;0,00;0,00;0,00;77.297,08;1.096,80
1210;2022;0116;1071;01500000;/;43238;VANDER ZAMBELI VALE;2.261,25;2.261,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1272;2022;0171;1151;01500000;/;40095;RFJ CONSTRUTORA EIRELI-EPP;154.822,54;149.856,61;0,00;0,00;0,00;4.965,93;0,00;4.965,93;0,00;0,00;0,00
1306;2022;4123;1123;21552000;/;53143;SEPAT MULTI SERVICE LTDA;21.865,49;21.865,49;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1353;2022;1546;1131;01500702;/;48097;GUEDES & PAIXAO LTDA;324,79;324,79;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1360;2022;1546;1131;21600000;/;22209;WHITE MARTINS GASES INDUSTRIAIS DO NORDESTE S/A;9.140,47;0,00;5.657,80;3.482,67;0,00;0,00;0,00;0,00;0,00;9.140,47;3.482,67
1361;2022;1546;1131;21600000;/;22209;WHITE MARTINS GASES INDUSTRIAIS DO NORDESTE S/A;34.246,30;0,00;30.212,13;4.034,17;0,00;0,00;0,00;0,00;0,00;34.246,30;4.034,17
1362;2022;1546;1131;21600000;/;22209;WHITE MARTINS GASES INDUSTRIAIS DO NORDESTE S/A;5.445,00;0,00;5.445,00;0,00;0,00;0,00;0,00;0,00;0,00;5.445,00;0,00
1376;2022;1546;1131;21600000;/;22209;WHITE MARTINS GASES INDUSTRIAIS DO NORDESTE S/A;6.424,98;0,00;3.319,98;0,00;0,00;3.105,00;0,00;3.105,00;0,00;3.319,98;0,00
1452;2022;0171;1151;01500000;/;15;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;2.000,00;2.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1486;2022;1546;1131;21600000;/;42800;Selbetti Gestao de Documentos S.A.;408,30;408,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1490;2022;1546;1131;22621000;/;48789;DIPROM - DISTRIBUIDORA DE PRODUTOS ODONTOLOGICOS E MATERIAIS LTDA;315,40;315,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1491;2022;1546;1131;22621000;/;44425;DENTAL OPEN - COMERCIO DE PRODUTOS ODONTOLOGICOS LTDA. - EPP;647,90;647,90;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1523;2022;0142;1201;01500000;/;958;GONTIJO - SERVIÇOS, LOCAÇÃO E CONSTRUÇÕES LTDA;347,23;0,00;347,23;0,00;0,00;0,00;0,00;0,00;0,00;347,23;0,00
1595;2022;1546;1131;22621000;/;54110;FERNANDA OTONI DE BARROS BRISSET;30.000,00;18.000,00;0,00;0,00;0,00;12.000,00;0,00;12.000,00;0,00;0,00;0,00
1673;2022;0181;1171;22700000;/;40313;MINISTÉRIO DA JUSTIÇA;2.728,03;2.728,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1680;2022;0181;1171;52700710;/;40313;MINISTÉRIO DA JUSTIÇA;19,45;19,45;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1748;2022;1546;1131;01500702;/;52460;CLINICA TRATE CENTRO DE EPECIALIDADE LTDA;300,00;300,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
